Timestamp,program,gender,AGE,HEIGHT,WEIGHT,SALARY_OLD,SALARY_GRAD,DESIRE_WORK_ORG,PARENTS,EXPENSES,TRANSPORT,COST_TRANSPORTATION,COST_ENTERTAINMENT,HAND,CELL_PHONE,SMOKE,foot_size,alcohol,tattoo,sleep,social,homework,work,travel,tuition,coffee,BMI,place,hours
2021/09/16 7:55:58 pm GMT-7,BABI,female,30.0,163.0,61.0,2800.0,5000.0,1. LARGE CORPORATION,False,1000.0,2. PUBLIC TRANSPORT,30.0,200.0,0. RIGHT-HANDED,51.0,False,9.5,0.0,True,7.0,8.0,15.0,40.0,True,True,1.0,22.96,Vancouver,300
2022/01/07 1:55:59 pm GMT-8,BITMAN,male,23.0,180.4,86.18,3.0,4.0,2. SMALL COMPANY,True,200.0,3. DRIVE,250.0,200.0,0. RIGHT-HANDED,50.0,False,132.0,2.0,False,8.0,2.0,2.0,,False,False,0.0,26.48,Burnaby,1500
2022/01/17 9:14:32 pm GMT-8,BITMAN,male,21.0,188.0,100.0,2200.0,4000.0,1. LARGE CORPORATION,True,800.0,3. DRIVE,150.0,200.0,0. RIGHT-HANDED,80.0,False,11.0,2.0,True,8.0,6.0,20.0,20.0,True,False,0.0,28.29,Burnaby,1500
2022/08/31 10:58:48 pm GMT-7,BABI,female,25.0,166.0,65.0,2400.0,4000.0,1. LARGE CORPORATION,False,2000.0,2. PUBLIC TRANSPORT,30.0,100.0,0. RIGHT-HANDED,75.0,False,9.0,0.0,False,7.0,7.0,7.0,37.5,True,True,1.0,23.59,Vancouver,300
2022/09/06 1:06:05 pm GMT-7,BABI,male,26.0,220.0,75.0,3300.0,5000.0,1. LARGE CORPORATION,False,800.0,3. DRIVE,100.0,100.0,0. RIGHT-HANDED,45.0,False,8.0,0.0,False,7.0,30.0,28.0,16.0,True,False,1.0,15.5,Vancouver,300
2022/09/07 1:31:18 pm GMT-7,BABI,male,43.0,175.0,78.0,,,4. OTHER,False,2000.0,3. DRIVE,100.0,400.0,0. RIGHT-HANDED,63.0,False,9.5,3.0,False,8.0,2.0,4.0,45.0,True,True,,25.47,Vancouver,300
2022/09/07 6:13:32 pm GMT-7,BABI,male,28.0,180.0,180.0,4000.0,5000.0,1. LARGE CORPORATION,True,800.0,2. PUBLIC TRANSPORT,50.0,60.0,0. RIGHT-HANDED,90.0,False,10.0,0.0,False,6.0,0.5,6.0,40.0,True,True,0.0,55.56,Vancouver,300
2022/09/08 12:41:04 pm GMT-7,BABI,male,47.0,178.0,75.0,5000.0,7000.0,3. NON-PROFIT OR GOVERNMENT AGENCY,False,4000.0,3. DRIVE,100.0,200.0,0. RIGHT-HANDED,45.0,False,10.0,2.0,False,6.0,1.0,10.0,40.0,True,True,2.0,23.67,Vancouver,300
2022/09/08 1:57:13 pm GMT-7,BABI,male,30.0,170.0,64.0,3000.0,4000.0,2. SMALL COMPANY,False,1000.0,2. PUBLIC TRANSPORT,50.0,500.0,0. RIGHT-HANDED,50.0,False,9.0,0.0,False,5.0,35.0,35.0,37.5,True,True,0.0,22.15,Vancouver,300
2022/09/08 7:33:55 pm GMT-7,BABI,female,29.0,170.0,58.0,3.0,4.0,1. LARGE CORPORATION,False,3.0,2. PUBLIC TRANSPORT,50.0,100.0,0. RIGHT-HANDED,100.0,False,10.0,8.0,True,7.0,8.0,20.0,10.0,True,False,2.0,20.07,Vancouver,300
