Timestamp,program,gender,AGE,HEIGHT,WEIGHT,SALARY_OLD,SALARY_GRAD,DESIRE_WORK_ORG,PARENTS,EXPENSES,TRANSPORT,COST_TRANSPORTATION,COST_ENTERTAINMENT,HAND,CELL_PHONE,SMOKE,foot_size,alcohol,tattoo,sleep,social,homework,work,travel,tuition,coffee,BMI
2025/01/07 2:18:24 pm GMT-8,BITMAN,male,28.0,175,73,52,55,1. LARGE CORPORATION,False,300,3. DRIVE,55,100,1. LEFT-HANDED,55,False,10.5,1,True,6,7,8,12,True,True,1,23.84
2025/01/07 2:38:37 pm GMT-8,BITMAN,male,22.0,171,67,10000,6000,4. OTHER,False,1500,2. PUBLIC TRANSPORT,0,150,0. RIGHT-HANDED,40,False,26,0,False,6,5,10,0,True,True,1,22.91
2025/01/09 11:12:12 am GMT-8,BMGT,female,27.0,168,68,1400,4000,1. LARGE CORPORATION,False,1200,2. PUBLIC TRANSPORT,150,10,0. RIGHT-HANDED,30,False,9.5,1,False,5,2,10,15,True,False,1,24.09
2025/01/09 5:36:09 pm GMT-8,BABI,male,28.0,180,78,0,4000,1. LARGE CORPORATION,False,1200,2. PUBLIC TRANSPORT,50,200,0. RIGHT-HANDED,60,False,,2,False,7,10,10,20,True,False,1,24.07
2025/01/09 5:36:20 pm GMT-8,BABI,female,28.0,158,66,0,80,3. NON-PROFIT OR GOVERNMENT AGENCY,False,,2. PUBLIC TRANSPORT,08,40,0. RIGHT-HANDED,40,False,,0,False,8,3,18,0,True,True,0,26.44
2025/01/09 5:36:25 pm GMT-8,BABI,female,35.0,167,77,0,5000,3. NON-PROFIT OR GOVERNMENT AGENCY,False,5000,2. PUBLIC TRANSPORT,100,400,0. RIGHT-HANDED,200,False,9,0,False,6,14,28,0,True,True,0,27.61
2025/01/09 5:36:31 pm GMT-8,BABI,female,28.0,165,47,,2000,1. LARGE CORPORATION,False,,2. PUBLIC TRANSPORT,0,80,0. RIGHT-HANDED,34,False,9.5,0,True,6.5,14,14,0,True,False,0,17.26
2025/01/09 5:36:37 pm GMT-8,BABI,female,26.0,152.4,110,0,4000,1. LARGE CORPORATION,True,100,2. PUBLIC TRANSPORT,0,50,,,False,15.24,0,False,6,6,5,12,True,False,0,47.36
2025/01/09 5:36:48 pm GMT-8,BABI,male,35.0,1.77,68,6000,5000,3. NON-PROFIT OR GOVERNMENT AGENCY,False,2000,1. WALK,40,60,0. RIGHT-HANDED,70,False,10,1,True,8,10,10,0,True,True,1,217051.29
2025/01/09 5:36:58 pm GMT-8,BABI,female,26.0,25.4,70.3,4800,5800,2. SMALL COMPANY,True,1800,3. DRIVE,200,400,0. RIGHT-HANDED,70,False,6,0,False,8,12,8,37.5,True,False,2,1089.65
2025/01/09 5:36:58 pm GMT-8,BABI,,25.0,178,78,0,3500,1. LARGE CORPORATION,False,1000,2. PUBLIC TRANSPORT,35,50,0. RIGHT-HANDED,40,False,,0,False,7,12,25,15,True,False,1,24.62
2025/01/09 5:37:02 pm GMT-8,BABI,male,23.0,179,71,0,4200,2. SMALL COMPANY,True,0,2. PUBLIC TRANSPORT,20,0,1. LEFT-HANDED,0,False,11,0,False,6.5,35,16,0,True,False,0,22.16
2025/01/09 5:37:16 pm GMT-8,BABI,female,28.0,165,61,,,3. NON-PROFIT OR GOVERNMENT AGENCY,True,200,2. PUBLIC TRANSPORT,60,0,0. RIGHT-HANDED,30,False,,0,False,6,0,2,30,True,True,0,22.41
2025/01/09 5:37:27 pm GMT-8,BABI,male,36.0,178,82,5700,6500,3. NON-PROFIT OR GOVERNMENT AGENCY,False,2000,2. PUBLIC TRANSPORT,200,200,0. RIGHT-HANDED,80,False,10,2,False,8,4,15,20,True,True,2,25.88
2025/01/09 5:37:43 pm GMT-8,BABI,male,32.0,173,93,4400,7400,3. NON-PROFIT OR GOVERNMENT AGENCY,False,3200,3. DRIVE,80,400,0. RIGHT-HANDED,90,True,10,4,False,6,12,4,40,True,True,2,31.07
2025/01/09 5:38:01 pm GMT-8,BABI,male,29.0,171,73,3600,5000,1. LARGE CORPORATION,True,500,2. PUBLIC TRANSPORT,200,100,0. RIGHT-HANDED,40,False,9,0,True,6,5,8,37.5,True,True,0.5,24.96
2025/01/09 5:38:40 pm GMT-8,BABI,female,21.0,178,70,3000,5000,1. LARGE CORPORATION,False,2500,3. DRIVE,100,100,2. AMBIDEXTROUS,100,False,12,8,False,7,10,8,0,True,True,3,22.09
2025/01/09 5:38:52 pm GMT-8,GCBA,male,33.0,179,85,0,6500,3. NON-PROFIT OR GOVERNMENT AGENCY,True,1200,2. PUBLIC TRANSPORT,40,200,0. RIGHT-HANDED,35,False,9,0,False,6,25,8,0,True,True,0,26.53
2025/01/09 5:38:57 pm GMT-8,BABI,male,24.0,172,53,5500,5500,1. LARGE CORPORATION,False,3000,2. PUBLIC TRANSPORT,40,250,0. RIGHT-HANDED,78,False,10.3,1,False,7,30,15,40,True,True,1,17.92
2025/01/09 5:38:59 pm GMT-8,BABI,male,24.0,187,81,2500,5000,1. LARGE CORPORATION,False,1500,2. PUBLIC TRANSPORT,50,200,0. RIGHT-HANDED,40,False,11,0,False,10,10,15,30,True,True,1,23.16
2025/01/09 5:39:12 pm GMT-8,BABI,male,30.0,175,65,5000,6000,1. LARGE CORPORATION,False,2000,2. PUBLIC TRANSPORT,45,100,0. RIGHT-HANDED,30,False,10,0,False,8,10,15,40,True,True,2,21.22
2025/01/09 5:40:13 pm GMT-8,BABI,male,33.0,167,64,3000,4500,2. SMALL COMPANY,False,1500,2. PUBLIC TRANSPORT,60,50,0. RIGHT-HANDED,115,False,9.5,4,False,7,25,20,38,True,True,1,22.95
2025/01/09 5:40:31 pm GMT-8,BABI,male,23.0,182,79,0,2000,3. NON-PROFIT OR GOVERNMENT AGENCY,False,1000,3. DRIVE,150,100,0. RIGHT-HANDED,45,False,11,0,False,7,10,14,0,True,False,1,23.85
2025/01/09 5:41:38 pm GMT-8,BABI,female,47.0,165,54,0,6700,4. OTHER,False,3000,2. PUBLIC TRANSPORT,200,500,1. LEFT-HANDED,63,False,9.5,6,False,8,1,16,20,True,True,3,19.83
